target,test,kind,n_folds,mean_auc,std_auc,mean_r2,std_r2
voter_borda_points_centered,activation_plus_position,regression,5,,,0.12747794178289404,0.055981589558469234
voter_borda_points_centered,activation_layer,regression,5,,,0.12633072418302746,0.05612197428149192
voter_borda_points_centered,field_order_only,regression,5,,,0.0,0.0
voter_borda_points_centered,position_plus_field_order,regression,5,,,0.06568347967600965,0.029364345538531303
voter_borda_points_centered,activation_plus_field_order,regression,5,,,0.12613375020161094,0.055843865919432724
voter_borda_points_centered,activation_plus_position_plus_field_order,regression,5,,,0.12740962212446358,0.05584313922730855
voter_borda_points_centered,activation_layer_no_repair_ballots,regression,5,,,0.08899976824837719,0.044341693895033674
voter_borda_points_z,position_only,regression,5,,,0.0643211340469702,0.029382272357202737
voter_borda_points_z,activation_plus_position,regression,5,,,0.1269945992368326,0.05577616530039618
voter_borda_points_z,activation_layer,regression,5,,,0.1258053462503452,0.05601728831774224
voter_borda_points_z,field_order_only,regression,5,,,0.0,0.0
voter_borda_points_z,position_plus_field_order,regression,5,,,0.0643211340469702,0.029382272357202737
voter_borda_points_z,activation_plus_field_order,regression,5,,,0.1256268112387577,0.0557516010686062
voter_borda_points_z,activation_plus_position_plus_field_order,regression,5,,,0.12694241629166428,0.05563659994344715
voter_borda_points_z,activation_layer_no_repair_ballots,regression,5,,,0.08890288575458476,0.045044338423710806
