intervention,direction,target_policy,strength,baseline_role,n_rows,mean_delta_allocation,mean_abs_delta_allocation,median_delta_allocation,increase_rate,decrease_rate,large_change_rate,mean_delta_borda,best_pick_gain_rate,best_pick_loss_rate
neg_hurt_to_bottom,neg_hurt,bottom,0.2,middle,94,0.012234472032413502,0.06906510897765386,0.0,0.2765957446808511,0.3723404255319149,0.1702127659574468,-0.005681818181818182,0.031914893617021274,0.0
neg_hurt_to_top,neg_hurt,top,0.05,middle,100,-0.0012590714851236856,0.03604011386287307,0.0,0.29,0.27,0.09,-0.010869565217391304,0.01,0.01
neg_hurt_to_top,neg_hurt,top,0.1,middle,100,0.00518236002096093,0.060973548059853194,0.0,0.27,0.27,0.18,0.016666666666666666,0.04,0.01
neg_hurt_to_top,neg_hurt,top,0.2,middle,100,-0.025320416587595655,0.05363057183370808,0.0,0.19,0.32,0.14,-0.03977272727272727,0.0,0.01
random2_to_bottom,random2,bottom,0.05,middle,94,0.010486724484980439,0.05986411163199108,0.0,0.26595744680851063,0.26595744680851063,0.1276595744680851,0.05,0.0425531914893617,0.010638297872340425
random2_to_bottom,random2,bottom,0.1,middle,94,-0.008459494265989733,0.03719611264079891,0.0,0.22340425531914893,0.2553191489361702,0.11702127659574468,0.0,0.010638297872340425,0.010638297872340425
random2_to_bottom,random2,bottom,0.2,middle,94,0.0033522487738554016,0.0570937378631863,0.0,0.2765957446808511,0.22340425531914893,0.1276595744680851,0.052941176470588235,0.031914893617021274,0.010638297872340425
random2_to_top,random2,top,0.05,middle,100,-0.021222204778539974,0.039682193462381124,0.0,0.21,0.35,0.08,0.0,0.01,0.01
random2_to_top,random2,top,0.1,middle,100,0.012398003983459452,0.049622111187664734,0.0,0.25,0.25,0.14,0.047872340425531915,0.04,0.01
random2_to_top,random2,top,0.2,middle,100,0.0039891193975011684,0.06071444979552087,0.0,0.24,0.29,0.15,0.1511627906976744,0.07,0.01
random3_to_bottom,random3,bottom,0.05,middle,94,-0.012935291690071158,0.038696271692599246,0.0,0.23404255319148937,0.3191489361702128,0.11702127659574468,-0.017857142857142856,0.0,0.010638297872340425
random3_to_bottom,random3,bottom,0.1,middle,94,-0.006893173548490472,0.04702139356670525,0.0,0.24468085106382978,0.2553191489361702,0.13829787234042554,-0.018072289156626505,0.031914893617021274,0.010638297872340425
random3_to_bottom,random3,bottom,0.2,middle,94,-0.003216898608364534,0.02981428095458363,0.0,0.2127659574468085,0.3191489361702128,0.0851063829787234,0.056818181818181816,0.0425531914893617,0.010638297872340425
random3_to_top,random3,top,0.05,middle,100,0.005671899012080095,0.0637223217414951,0.0,0.27,0.26,0.15,0.016666666666666666,0.04,0.01
random3_to_top,random3,top,0.1,middle,100,0.00579764301804336,0.039331964392273544,0.0,0.19,0.27,0.1,0.043478260869565216,0.02,0.01
random3_to_top,random3,top,0.2,middle,100,-0.0038616782410681536,0.06748654780442033,0.0,0.23,0.23,0.14,0.06818181818181818,0.05,0.01
random_to_bottom,random,bottom,0.05,middle,94,-0.006386777884033322,0.04377806380583572,0.0,0.2872340425531915,0.2765957446808511,0.10638297872340426,-0.029069767441860465,0.010638297872340425,0.010638297872340425
random_to_bottom,random,bottom,0.1,middle,94,-0.0170548227582354,0.03930858360433373,0.0,0.20212765957446807,0.3191489361702128,0.0851063829787234,-0.022988505747126436,0.02127659574468085,0.010638297872340425
random_to_bottom,random,bottom,0.2,middle,94,-0.0007622330770814117,0.04438508288279567,0.0,0.26595744680851063,0.2872340425531915,0.13829787234042554,-0.03571428571428571,0.010638297872340425,0.0
random_to_top,random,top,0.05,middle,100,0.004256812534469889,0.05993764858239356,0.0,0.24,0.25,0.15,0.022727272727272728,0.04,0.01
random_to_top,random,top,0.1,middle,100,0.002833551241974718,0.05854159974796709,0.0,0.31,0.23,0.14,0.021739130434782608,0.03,0.01
random_to_top,random,top,0.2,middle,100,0.0021989144175354122,0.060631204005451314,0.0,0.32,0.34,0.13,0.026595744680851064,0.02,0.01
