intervention,direction,target_policy,strength,n_ballots,parse_error_rate,target_mean_delta_alloc,target_median_delta_alloc,target_q25_delta_alloc,target_q75_delta_alloc,target_min_delta_alloc,target_max_delta_alloc,target_change_rate,target_increase_rate,target_decrease_rate,target_mean_delta_borda,target_borda_change_rate,target_mean_delta_best_pick,target_best_pick_gain_rate,nontarget_mean_abs_delta_alloc,nontarget_change_rate
random2_to_top,random2,top,0.05,50,0.92,-0.0012690877825762572,0.0,-0.003718239924856509,0.014968508736286051,-0.18012422360248442,0.1350114416475972,0.56,0.3,0.26,-0.03260869565217391,0.06,-0.1,0.02,0.04343534920683816,0.56
random2_to_top,random2,top,0.1,50,0.9,-0.013859231278284798,0.0,0.0,0.011614036106112446,-0.32619047619047614,0.09523809523809529,0.5,0.32,0.18,-0.1595744680851064,0.12,-0.12,0.02,0.049140699444725724,0.52
random2_to_top,random2,top,0.2,50,0.94,-0.043399080050035184,0.0,-0.01603613777526816,0.008010680907877099,-0.6190476190476188,0.07954545454545447,0.52,0.24,0.28,-0.3488372093023256,0.18,-0.26,0.0,0.058307423587790196,0.5266666666666666
random3_to_bottom,random3,bottom,0.05,50,0.92,0.005303705018645566,0.0,-0.008329182780577427,0.003999146662190117,-0.1818181818181818,0.4303313508920984,0.52,0.26,0.26,0.06818181818181818,0.24,0.0,0.0,0.03523908244388147,0.52
random3_to_bottom,random3,bottom,0.1,50,0.94,0.004760535649968943,0.0,-0.021953183955418898,0.0,-0.2376020880693777,0.3901515151515151,0.48,0.18,0.3,0.13953488372093023,0.28,0.0,0.0,0.04869902364943612,0.47333333333333333
random3_to_bottom,random3,bottom,0.2,50,0.96,0.01198185349835256,0.0,-0.0035714285714286004,0.017141598119859006,-0.27329192546583836,0.3822463768115942,0.56,0.32,0.24,0.031914893617021274,0.24,0.0,0.0,0.03428455559294921,0.5266666666666666
random3_to_top,random3,top,0.05,50,0.86,-0.008636819229128553,0.0,0.0,0.03726708074534152,-0.5590062111801241,0.24703557312252955,0.5,0.3,0.2,-0.17777777777777778,0.12,-0.18,0.02,0.066754934709528,0.5466666666666666
random3_to_top,random3,top,0.1,50,0.9,-0.0016113690097776198,0.0,0.0,0.01868647656691136,-0.5714285714285713,0.1964285714285714,0.48,0.28,0.2,-0.09782608695652174,0.06,-0.1,0.02,0.03794668754119867,0.4666666666666667
random3_to_top,random3,top,0.2,50,0.86,-0.0532945035883362,0.0,-0.035403726708074526,0.0009049227799227955,-0.6261904761904761,0.07500000000000001,0.46,0.22,0.24,-0.3068181818181818,0.16,-0.24,0.0,0.06463480039426477,0.4666666666666667
random_to_bottom,random,bottom,0.05,50,0.96,0.03405267906636785,0.0,-0.008535489667565094,0.017568192325473908,-0.1886960391633288,0.4155844155844155,0.56,0.3,0.26,0.13333333333333333,0.26,0.0,0.0,0.042903110170735115,0.5333333333333333
random_to_bottom,random,bottom,0.1,50,0.88,0.04315726947168177,0.0,0.0,0.06339285714285717,-0.18614718614718612,0.6459627329192545,0.54,0.36,0.18,0.21739130434782608,0.3,0.04,0.04,0.03466618983880252,0.5066666666666667
random_to_bottom,random,bottom,0.2,50,0.88,0.02268099216743741,0.0,-0.009057971014492822,0.008375947804620004,-0.18614718614718612,0.6459627329192545,0.54,0.26,0.28,0.24444444444444444,0.28,0.04,0.04,0.04409532189001101,0.54
random_to_top,random,top,0.05,50,0.92,-0.024147224377694024,0.0,-0.0049783358944000405,0.0020026702269692748,-0.6261904761904761,0.1964285714285714,0.48,0.22,0.26,-0.18181818181818182,0.1,-0.2,0.0,0.06210331308261698,0.5066666666666667
random_to_top,random,top,0.1,50,0.9,-0.026538218180882752,0.0,-0.010946377711902544,0.012578463411458074,-0.6190476190476188,0.08695652173913038,0.58,0.3,0.28,-0.13043478260869565,0.06,-0.12,0.0,0.06480386308610346,0.5466666666666666
random_to_top,random,top,0.2,50,0.88,-0.026737312352776304,0.0,-0.015943809422070215,0.016304347826086973,-0.6190476190476188,0.10119047619047611,0.62,0.28,0.34,-0.10638297872340426,0.08,-0.08,0.02,0.060467896095619623,0.6466666666666666
