prompt_id,evaluator_id,layer_index,mean_distance_to_self_answer,min_distance_to_self_answer,max_distance_to_self_answer,distance_to_self_spread,mean_distance_to_centroid,allocation_spread,negative_mass_sum,positive_mass_sum
p012,Qwen/Qwen2.5-7B-Instruct::normal_03,16,17.42044448852539,12.58852767944336,23.188980102539062,10.600452423095703,10.423888206481934,0.7,0.6,0.4
p012,Qwen/Qwen2.5-7B-Instruct::normal_04,16,16.840438842773438,12.591348648071289,20.466243743896484,7.874895095825195,10.45135498046875,0.7,0.25,0.75
p013,Qwen/Qwen2.5-7B-Instruct::normal_01,16,19.64410400390625,16.175161361694336,24.449527740478516,8.27436637878418,12.726306915283203,0.8500000000000001,0.55,0.45
p013,Qwen/Qwen2.5-7B-Instruct::normal_02,16,19.42543601989746,16.138755798339844,21.821435928344727,5.682680130004883,11.742097854614258,0.7,0.4,0.6
p013,Qwen/Qwen2.5-7B-Instruct::normal_03,16,19.869047164916992,16.52468490600586,23.315671920776367,6.790987014770508,12.317490577697754,0.6,0.3,0.7
p013,Qwen/Qwen2.5-7B-Instruct::normal_04,16,19.88861083984375,18.5046329498291,21.449756622314453,2.9451236724853516,13.223445892333984,0.6000000000000001,0.2,0.8
p014,Qwen/Qwen2.5-7B-Instruct::normal_01,16,19.01799964904785,13.40601921081543,24.627662658691406,11.221643447875977,13.545578002929688,0.5,0.05,0.95
p014,Qwen/Qwen2.5-7B-Instruct::normal_02,16,20.079683303833008,16.401737213134766,25.955198287963867,9.553461074829102,13.345077514648438,0.75,0.55,0.45
p014,Qwen/Qwen2.5-7B-Instruct::normal_03,16,18.871849060058594,14.906500816345215,24.381572723388672,9.475071907043457,12.607872009277344,0.35,0.0,0.9999999999999999
p014,Qwen/Qwen2.5-7B-Instruct::normal_04,16,19.77953338623047,15.909371376037598,25.278728485107422,9.369357109069824,12.607872009277344,0.6,0.3,0.7
p015,Qwen/Qwen2.5-7B-Instruct::normal_01,16,15.872601509094238,11.110404014587402,23.815614700317383,12.70521068572998,10.529195785522461,0.6,0.25,0.75
p015,Qwen/Qwen2.5-7B-Instruct::normal_02,16,16.784549713134766,13.282772064208984,23.852697372436523,10.569925308227539,11.153300285339355,0.4,0.0,1.0
p015,Qwen/Qwen2.5-7B-Instruct::normal_03,16,16.478727340698242,14.047408103942871,22.233301162719727,8.185893058776855,10.936928749084473,0.6,0.25,0.75
p015,Qwen/Qwen2.5-7B-Instruct::normal_04,16,16.28358268737793,13.0870361328125,22.98434829711914,9.89731216430664,11.040937423706055,0.55,0.3,0.7
p016,Qwen/Qwen2.5-7B-Instruct::normal_02,16,18.482376098632812,15.400727272033691,24.031221389770508,8.630494117736816,12.028761863708496,0.7,0.4,0.6
