layer_index,layer_position,feature_family,feature_dim,target,kind,n_folds,mean_accuracy,std_accuracy,mean_auc,std_auc,mean_balanced_accuracy,std_balanced_accuracy,mean_chosen_c,std_chosen_c,mean_chosen_alpha,std_chosen_alpha,mean_r2,std_r2,mean_rmse,std_rmse
16,0,candidate_plus_self_delta_activation,7168,voter_hurt_label,classification,5,0.6995246507878087,0.03039626361029269,0.7475355182661632,0.025180001614035556,0.69368027537007,0.03949364618803431,0.001,0.0,,,,,,
16,0,candidate_plus_self_delta_activation,7168,voter_signed_top_choice,classification,5,0.7726795748111537,0.03281685506611181,0.8291265709124257,0.04013463190231829,0.7350459819397812,0.04068859572940605,0.001,0.0,,,,,,
16,0,candidate_plus_self_delta_activation,7168,voter_best_pick_vote,classification,5,0.7146760783076573,0.032507361505810246,0.7737564511053743,0.036896242499335506,0.6828004977478661,0.035131754521112016,0.001,0.0,,,,,,
16,0,candidate_plus_self_delta_activation,7168,voter_allocation,regression,5,,,,,,,,,10000.0,0.0,0.18852442754087587,0.0677293279055239,0.2277066733283326,0.014214783263552818
16,0,candidate_plus_self_delta_activation,7168,voter_allocation_centered,regression,5,,,,,,,,,10000.0,0.0,0.22391281996266113,0.07159986897632269,0.21269870027294574,0.014381142351031313
16,0,candidate_plus_self_delta_activation,7168,voter_allocation_z,regression,5,,,,,,,,,10000.0,0.0,0.24145633901832877,0.08107496715107873,0.753197353936095,0.040018642654624785
16,0,candidate_plus_self_delta_activation,7168,voter_positive_mass,regression,5,,,,,,,,,10000.0,0.0,0.20072982235910156,0.0846589008101643,0.16279051402643305,0.010035501460267042
16,0,candidate_plus_self_delta_activation,7168,voter_negative_mass,regression,5,,,,,,,,,10000.0,0.0,0.10916236190126996,0.023881619556549556,0.08417083353956265,0.008032986506199756
16,0,candidate_plus_self_delta_activation,7168,voter_signed_abs_share,regression,5,,,,,,,,,28000.0,36000.0,0.15361618263627824,0.0766819241916571,0.12500971905752267,0.008484033870497952
16,0,candidate_plus_self_delta_activation,7168,voter_allocation_rank,regression,5,,,,,,,,,10000.0,0.0,0.257666121512338,0.08924135547595013,0.9464036638372569,0.05495831371385153
16,0,candidate_plus_self_delta_activation,7168,voter_borda_points,regression,5,,,,,,,,,10000.0,0.0,0.1480176316150997,0.07414816931523074,1.0003413835783757,0.04106806893735903
16,0,candidate_plus_self_delta_activation,7168,voter_borda_points_centered,regression,5,,,,,,,,,10000.0,0.0,0.14801763096968623,0.07414817214359001,1.0003413838847197,0.041068070603664644
16,0,candidate_plus_self_delta_activation,7168,voter_borda_points_z,regression,5,,,,,,,,,10000.0,0.0,0.14824874399487903,0.07452370171471577,0.798506022308735,0.03466373235130592
16,0,candidate_set_geometry,8,voter_help_label,classification,5,0.5771978460136354,0.02679609479870654,0.6176971110432345,0.032758278324986526,0.5866523765337719,0.03502021288826091,0.2800000000000001,0.36,,,,,,
16,0,candidate_set_geometry,8,voter_hurt_label,classification,5,0.5920575038996091,0.022212009366356956,0.6471230740021395,0.030800068831619325,0.6003509579591115,0.02929584234397758,0.82,0.36,,,,,,
16,0,candidate_set_geometry,8,voter_signed_top_choice,classification,5,0.7015485567064514,0.03867467366028789,0.7723357268204406,0.04018421365928662,0.6948443084998098,0.046854851813479974,1.0,0.0,,,,,,
16,0,candidate_set_geometry,8,voter_best_pick_vote,classification,5,0.6521640727693359,0.03327052603031565,0.7017746466045869,0.05149562500847867,0.6543173493173493,0.05101293935046737,0.82,0.36,,,,,,
16,0,candidate_set_geometry,8,voter_allocation,regression,5,,,,,,,,,44.2,45.678879145618275,0.09095861619085777,0.02987891930790762,0.24103995424166497,0.008604077905714845
16,0,candidate_set_geometry,8,voter_allocation_centered,regression,5,,,,,,,,,62.02,46.62104245938737,0.1063753875342354,0.031728851322897,0.2282972787178478,0.008912490269754762
16,0,candidate_set_geometry,8,voter_allocation_z,regression,5,,,,,,,,,62.02,46.62104245938737,0.1177828014628445,0.03580559507963324,0.8132595496429588,0.016486473770897132
16,0,candidate_set_geometry,8,voter_positive_mass,regression,5,,,,,,,,,40.6,48.49989690710692,0.10586818518094313,0.03766360645109593,0.17233606992645073,0.005347826186959803
16,0,candidate_set_geometry,8,voter_negative_mass,regression,5,,,,,,,,,100.0,0.0,0.03297948630116383,0.017549592909191437,0.08758504211230904,0.006910646264643271
16,0,candidate_set_geometry,8,voter_signed_abs_share,regression,5,,,,,,,,,42.4,47.14488307335166,0.09593163479412621,0.046914741941083186,0.1292301925095724,0.006264460647504705
16,0,candidate_set_geometry,8,voter_allocation_rank,regression,5,,,,,,,,,62.02,46.62104245938737,0.12954698822577637,0.036655389241040615,1.0264751887020962,0.019834063475449845
16,0,candidate_set_geometry,8,voter_borda_points,regression,5,,,,,,,,,22.24,39.05875574055067,0.07046084452162463,0.040482888738930294,1.045653366192466,0.020364158958852376
16,0,candidate_set_geometry,8,voter_borda_points_centered,regression,5,,,,,,,,,22.24,39.05875574055067,0.07046084452162464,0.04048288873893031,1.045653366192466,0.020364158958852376
16,0,candidate_set_geometry,8,voter_borda_points_z,regression,5,,,,,,,,,22.24,39.05875574055067,0.07102023493195149,0.04080155977901018,0.8345071075605996,0.01824037367704459
16,0,self_answer_geometry,5,voter_help_label,classification,5,0.5403890670732776,0.05162044005272323,0.5693540401474111,0.07102667365460455,0.5414769112319102,0.05691611361786607,0.1,0.0,,,,,,
16,0,self_answer_geometry,5,voter_hurt_label,classification,5,0.5644527490053806,0.043216956450414915,0.5923155689038124,0.0578151735346972,0.5688446393452603,0.048703622989590314,0.262,0.370642685075532,,,,,,
16,0,self_answer_geometry,5,voter_signed_top_choice,classification,5,0.628348274532485,0.04804055971288068,0.6498849785356884,0.056125751941299894,0.6302179014849363,0.03792572315022536,0.64,0.440908153700972,,,,,,
16,0,self_answer_geometry,5,voter_best_pick_vote,classification,5,0.5291842981579824,0.038216578682040876,0.5304845050733713,0.03571110592427297,0.5262887229729335,0.02415942177270221,1.0,0.0,,,,,,
16,0,self_answer_geometry,5,voter_allocation,regression,5,,,,,,,,,4.42,4.567887914561827,0.022922131373869094,0.040125995946939774,0.24991404398306058,0.01040005539617094
16,0,self_answer_geometry,5,voter_allocation_centered,regression,5,,,,,,,,,4.24,4.714488307335166,0.03373787599310949,0.0416485518635905,0.23742664426255092,0.010899692103090365
16,0,self_answer_geometry,5,voter_allocation_z,regression,5,,,,,,,,,6.220000000000001,4.638275541621046,0.03647867472731572,0.043260225395876026,0.8498688349700997,0.01907766497972411
16,0,self_answer_geometry,5,voter_positive_mass,regression,5,,,,,,,,,6.220000000000001,4.638275541621046,0.019854912102979783,0.03789355681328892,0.18043164353005003,0.005060256977378444
16,0,self_answer_geometry,5,voter_negative_mass,regression,5,,,,,,,,,26.2,37.0642685075532,0.01829890828471088,0.028401224466411735,0.08831204792786798,0.007885031106146074
16,0,self_answer_geometry,5,voter_signed_abs_share,regression,5,,,,,,,,,8.2,3.6,0.007158667236636185,0.02630892622590348,0.13544974250286032,0.005572317133219051
16,0,self_answer_geometry,5,voter_allocation_rank,regression,5,,,,,,,,,4.24,4.714488307335166,0.04705919937922669,0.04920143124284599,1.0738742487315556,0.025518126556337152
16,0,self_answer_geometry,5,voter_borda_points,regression,5,,,,,,,,,40002.22,48987.982355610446,-0.008472024429883197,0.010167097988994489,1.0894305358966598,0.004151148442483008
16,0,self_answer_geometry,5,voter_borda_points_centered,regression,5,,,,,,,,,40002.22,48987.982355610446,-0.008472024429883152,0.010167097988994445,1.0894305358966598,0.004151148442483008
16,0,self_answer_geometry,5,voter_borda_points_z,regression,5,,,,,,,,,40002.22,48987.982355610446,-0.008837602925175015,0.010326659808808161,0.8698324125198724,0.004447057874596846
16,0,pairwise_self_contrast_geometry,6,voter_help_label,classification,5,0.5718643023643024,0.015557646063442732,0.5984670842047338,0.04236379110292801,0.5834521554534283,0.023173700343491224,0.82,0.36,,,,,,
16,0,pairwise_self_contrast_geometry,6,voter_hurt_label,classification,5,0.5848441032651559,0.022901016102696185,0.6305644064509212,0.03821355310723069,0.600005797233492,0.03348329424391352,1.0,0.0,,,,,,
16,0,pairwise_self_contrast_geometry,6,voter_signed_top_choice,classification,5,0.6950249574986417,0.04315113514637069,0.7190049991396232,0.057292868862780566,0.6850991104875561,0.0431109695563708,1.0,0.0,,,,,,
16,0,pairwise_self_contrast_geometry,6,voter_best_pick_vote,classification,5,0.5979007921902658,0.024811047874500756,0.6373308868526685,0.04159564655712321,0.5936364278995858,0.03160028132732222,1.0,0.0,,,,,,
16,0,pairwise_self_contrast_geometry,6,voter_allocation,regression,5,,,,,,,,,4.24,4.714488307335166,0.070554918186131,0.054853804198614624,0.2437372812273629,0.012224354491799514
